NAMAPOS,Longitude,Latitude
Barongan PUESDM KLIMATOLOGI,110.373278,-7.90911099999999
Beji,110.147499300999,-7.862489869
Karangploso PUPESDM,110.444299999999,-7.84260999999998
Suratrunan,109.706417299999,-7.65113930000001
Watubarut,109.527405903999,-7.57471280599998
Pundong (DPU ESDM),110.34341,-7.95816999999999
Bedukan,110.395767999999,-7.86443200000002
Terong,110.460704900999,-7.888399977
